,name,categories,lat,lng,id,Stadtbezirk,Stadtteil
45,Pommesglück,Friterie,52.37505195570465,9.739167470860943,50f803ace4b09b9b5e78504e,Mitte,Mitte
46,KINDAI Restaurant,Sushi Restaurant,52.36930726615503,9.751127587748387,531e1993498e912dfac32629,Mitte,Mitte
47,Eliniko,Greek Restaurant,52.37027684139699,9.759066486453433,4b7304cef964a5202a962de3,Mitte,Mitte
48,Mary's,French Restaurant,52.374259,9.740668,54647174498e67b981d32aed,Mitte,Mitte
49,Bavarium,Bavarian Restaurant,52.37204906030355,9.739653468132017,4b77f44df964a52007b02ee3,Mitte,Mitte
50,Sakura Sushi,Sushi Restaurant,52.3773238248603,9.737754916240055,4cebf343e888f04d6416556b,Mitte,Mitte
51,Warm Up,Cocktail Bar,52.378226676572176,9.74310895457789,4f3ab0c6e4b0f48edbf8db91,Mitte,Mitte
52,Parfümerie Liebe,Cosmetics Shop,52.37301887497129,9.737881383009345,4c92273951d9b1f75f5f8646,Mitte,Mitte
53,Machwitz Coffee Bar,Coffee Shop,52.37160333767138,9.737092097180225,4c4998703013a593ee93f1e2,Mitte,Mitte
54,Jim Block,Burger Joint,52.37385284920403,9.739565136457601,4e492451b61c03d0cd2e853a,Mitte,Mitte
55,Ernst-August-Denkmal („Unterm Schwanz“),Outdoor Sculpture,52.37619507531763,9.740677453547574,4b71a0c1f964a52019522de3,Mitte,Mitte
56,dean&david,Salad Place,52.37735136062691,9.742100248571527,568fc51d498ec7434c1d1cf7,Mitte,Mitte
57,New Saigon,Vietnamese Restaurant,52.373624,9.735344,4e0330f3aeb798576578a4f7,Mitte,Mitte
58,Block House,Steakhouse,52.36794183537129,9.744567275047302,4b51bd4ff964a520ff5327e3,Mitte,Mitte
59,Tesoro,Italian Restaurant,52.3703728519318,9.759825102350565,51d69be6498e19414b8ac449,Mitte,Mitte
60,Reimanns Eck,German Restaurant,52.38229253116144,9.745323657989502,4bbce001a0a0c9b680eb1a0f,Mitte,Mitte
61,Balzac Coffee,Coffee Shop,52.376509584877454,9.739240407943726,4d2883b2068e8cfa3533c64c,Mitte,Mitte
62,Ecco!,Deli / Bodega,52.38433838499479,9.74673527584872,4b4436b3f964a520bff225e3,Mitte,Mitte
63,Francesca & Fratelli,Pizza Place,52.37245498573143,9.736004948313548,56195737498e2a8bbb42a30b,Mitte,Mitte
64,25 Music,Record Shop,52.381616,9.744368,4d13904a9844b60cbac8c3d4,Mitte,Mitte
65,Zara,Clothing Store,52.37306311191952,9.736913114775664,4bbf0fe0f353d13aebf97d10,Mitte,Mitte
66,El País,Tapas Restaurant,52.38168499158771,9.748454286904627,4c0bc90a7e3fc92836c0f582,Mitte,Mitte
67,Darry’s Donuts,Donut Shop,52.37713179552461,9.737663269042969,504706b6e4b092e662a18bcb,Mitte,Mitte
68,Al-Hayat,Falafel Restaurant,52.380888,9.744244,4c06b6f28b4520a183d68597,Mitte,Mitte
69,Theater am Aegi,Theater,52.36781081712642,9.743188619613646,4b7d3ef9f964a52078b42fe3,Mitte,Mitte
70,Seven Sundays,Breakfast Spot,52.371194,9.738992,5b361f10b6eedb00390763d4,Mitte,Mitte
71,Ernst-August-Galerie,Shopping Mall,52.377387,9.738191,4b6ac23df964a52027df2be3,Mitte,Mitte
72,Aegidienkirche,Historic Site,52.36941104375509,9.739288556954778,4bf83989d4cdb71301ba84fe,Mitte,Mitte
73,6 Sinne,Cocktail Bar,52.37460179183236,9.735374644094362,50c1dbebe4b0abeb9e93e986,Mitte,Mitte
74,SAUSALITOS,Mexican Restaurant,52.37972026139469,9.74368676004815,579275f8498e0802f6bca701,Mitte,Mitte
75,Kumkapi,Seafood Restaurant,52.376092412148786,9.735264846987395,4d9e1ead7958f04d3ee625fa,Mitte,Mitte
76,Wurst-Basar,Sausage Shop,52.37719666352795,9.741823435973352,4c2309869a67a5937a76dd87,Mitte,Mitte
77,Weinbar gegenüber,Wine Bar,52.369984767958876,9.737782429561772,4b48f341f964a520fd5e26e3,Mitte,Mitte
78,Hindenburg Klassik,Italian Restaurant,52.374888151548674,9.763188942717633,4bd8575c0b779c7447df06a0,Mitte,Mitte
79,Starbucks,Coffee Shop,52.377054,9.737621,4b54a66ff964a520d3c427e3,Mitte,Mitte
80,Schöne Aussichten 360grad,Beach Bar,52.37071359985194,9.737623022185025,4bbc71bc3de8c9b6b8ee9aad,Mitte,Mitte
81,Prager Hof,Eastern European Restaurant,52.37527784043182,9.755843287881195,4c7b96c33badb1f782325554,Mitte,Mitte
82,Dunkin',Donut Shop,52.376684656839466,9.740440720237757,54d9ff43498e1a387b021feb,Mitte,Mitte
83,Colosseum,Ice Cream Shop,52.37643854717262,9.740989735055598,4b92654bf964a52090f633e3,Mitte,Mitte
84,Hotel Königshof am Funkturm,Hotel,52.380498130572136,9.742330312728882,4ba2818bf964a5203cff37e3,Mitte,Mitte
85,Backyard Shop,Clothing Store,52.376465,9.736927,4c2e28073a4d0f47b013e586,Mitte,Mitte
86,Kurt16,Restaurant,52.37700652873893,9.735821241891404,5007ae1d011c79529978025e,Mitte,Mitte
